Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,28,1990,29,29,2507,27.9,3,2,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,2.4,1.6,3.2,4.8
2,Max Aarons\774cf58b,eng ENG,DF,Norwich City,19,2000,36,36,3240,36.0,0,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,3.4,3.9
3,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,21,1997,34,25,2215,24.6,15,3,15,0,0,2,0,0.61,0.12,0.73,0.61,0.73,14.1,14.1,2.5,16.6
4,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,23,1996,30,12,1111,12.3,4,2,4,0,0,0,0,0.32,0.16,0.49,0.32,0.49,4.0,4.0,1.2,5.2
5,Adrián\f76e6b4e,es ESP,GK,Liverpool,32,1987,11,9,875,9.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
6,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,31,1988,24,18,1452,16.1,16,3,14,2,3,1,0,0.99,0.19,1.18,0.87,1.05,14.1,11.9,2.4,14.3
7,Albian Ajeti\2b1c4abd,ch SUI,MFFW,West Ham,22,1997,9,0,139,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2
8,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,24,1995,29,29,2503,27.8,2,2,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14,2.4,2.4,0.6,3.0
9,Marc Albrighton\b827d5b3,eng ENG,MFDF,Leicester City,29,1989,20,9,867,9.6,0,3,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31,0.6,0.6,2.0,2.6
10,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,30,1989,33,33,2957,32.9,2,2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,1.1,2.2
11,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,20,1998,38,35,3175,35.3,4,13,4,0,0,5,0,0.11,0.37,0.48,0.11,0.48,2.8,2.8,9.9,12.7
12,Alisson\7a2e46a8,br BRA,GK,Liverpool,26,1992,29,29,2543,28.3,0,1,0,0,0,0,1,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.5,0.5
13,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,23,1996,25,21,1847,20.5,8,4,7,1,1,2,0,0.39,0.19,0.58,0.34,0.54,7.1,6.3,2.0,8.3
14,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,25,1994,36,35,3021,33.6,4,2,4,0,0,5,0,0.12,0.06,0.18,0.12,0.18,6.3,6.3,1.6,7.9
15,Marcos Alonso\f4290206,es ESP,DF,Chelsea,28,1990,18,15,1430,15.9,4,2,4,0,0,4,0,0.25,0.13,0.38,0.25,0.38,2.0,2.0,2.2,4.2
16,Steven Alzate\ad1f61f3,co COL,MFDF,Brighton,20,1998,19,12,1188,13.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.7,1.9
17,Ibrahim Amadou\9260926b,fr FRA,DFMF,Norwich City,26,1993,11,8,759,8.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0
18,Felipe Anderson\9f1893b9,br BRA,MFFW,West Ham,26,1993,25,20,1497,16.6,1,4,1,0,0,1,0,0.06,0.24,0.30,0.06,0.30,2.5,2.5,3.1,5.5
19,Florin Andone\dc008610,ro ROU,MFFW,Brighton,26,1993,3,1,73,0.8,1,0,1,0,0,0,1,1.23,0.00,1.23,1.23,1.23,0.1,0.1,0.0,0.2
20,Angeliño\30941e96,es ESP,DF,Manchester City,22,1997,6,4,423,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,1.4
21,Faustino Anjorin\b105919e,eng ENG,FW,Chelsea,17,2001,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
22,Michail Antonio\ac05f970,jm JAM,FW,West Ham,29,1990,24,19,1768,19.6,10,3,9,1,1,3,0,0.51,0.15,0.66,0.46,0.61,11.7,10.9,2.7,13.6
23,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,27,1992,30,19,1715,19.1,5,3,5,0,0,4,0,0.26,0.16,0.42,0.26,0.42,2.9,2.9,1.1,4.0
24,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,24,1994,33,33,2970,33.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
