Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA
Arsenal,29,25.9,53.8,38,418,3420,38.0,53,38,47,6,6,49,5,1.39,1.00,2.39,1.24,2.24,53.5,49.0,36.6,85.5
Aston Villa,24,25.2,48.1,38,418,3420,38.0,52,38,47,5,6,71,4,1.37,1.00,2.37,1.24,2.24,52.9,48.5,37.1,85.6
Brighton,27,25.8,51.3,38,418,3420,38.0,39,24,33,6,9,49,6,1.03,0.63,1.66,0.87,1.50,51.6,44.8,33.0,77.8
Burnley,25,28.3,41.7,38,418,3420,38.0,32,20,29,3,3,48,0,0.84,0.53,1.37,0.76,1.29,39.9,37.6,27.1,64.8
Chelsea,27,26.0,61.4,38,418,3420,38.0,56,38,48,8,10,51,3,1.47,1.00,2.47,1.26,2.26,64.0,56.4,42.4,98.8
Crystal Palace,24,29.1,40.1,38,418,3420,38.0,39,29,36,3,4,56,2,1.03,0.76,1.79,0.95,1.71,32.4,29.5,20.9,50.4
Everton,29,26.3,46.5,38,418,3420,38.0,45,32,41,4,5,59,2,1.18,0.84,2.03,1.08,1.92,47.1,43.4,32.9,76.3
Fulham,28,25.2,49.9,38,418,3420,38.0,26,18,23,3,6,67,3,0.68,0.47,1.16,0.61,1.08,41.3,36.8,27.8,64.6
Leeds United,23,26.1,57.6,38,418,3420,38.0,60,45,56,4,4,61,1,1.58,1.18,2.76,1.47,2.66,57.5,54.5,42.5,97.0
Leicester City,27,26.5,54.6,38,418,3420,38.0,64,45,54,10,12,61,0,1.68,1.18,2.87,1.42,2.61,56.0,46.9,33.1,80.0
Liverpool,28,26.8,62.4,38,418,3420,38.0,65,43,59,6,6,40,0,1.71,1.13,2.84,1.55,2.68,72.6,68.1,50.0,118.1
Manchester City,24,26.1,63.9,38,418,3420,38.0,82,55,77,5,9,46,2,2.16,1.45,3.61,2.03,3.47,73.3,66.6,51.0,117.5
Manchester Utd,29,25.6,55.8,38,418,3420,38.0,70,51,60,10,11,64,1,1.84,1.34,3.18,1.58,2.92,60.2,51.9,40.5,92.4
Newcastle Utd,27,27.1,38.2,38,418,3420,38.0,44,26,38,6,7,65,3,1.16,0.68,1.84,1.00,1.68,41.0,35.5,26.1,61.6
Sheffield Utd,27,26.7,41.5,38,418,3420,38.0,19,13,16,3,4,73,3,0.50,0.34,0.84,0.42,0.76,31.4,28.4,22.6,51.0
Southampton,29,26.6,52.2,38,418,3420,38.0,47,33,42,5,6,52,3,1.24,0.87,2.11,1.11,1.97,42.4,37.9,27.4,65.3
Tottenham,24,27.2,51.7,38,418,3420,38.0,66,50,61,5,5,57,2,1.74,1.32,3.05,1.61,2.92,54.5,50.7,35.5,86.2
West Brom,30,26.4,37.6,38,418,3420,38.0,33,20,29,4,4,51,4,0.87,0.53,1.39,0.76,1.29,33.8,30.7,21.2,52.0
West Ham,24,27.8,42.9,38,418,3420,38.0,60,46,58,2,4,50,3,1.58,1.21,2.79,1.53,2.74,53.9,50.7,36.8,87.5
Wolves,27,26.3,49.3,38,418,3420,38.0,34,21,30,4,4,55,1,0.89,0.55,1.45,0.79,1.34,39.9,36.8,26.5,63.3
